record_id,date,service,shift,patients_accueillis,personnel_present,actes_realises,temps_attente_moy_min,duree_moyenne_prise_en_charge_min,taux_occupation_lits_pct,satisfaction_patient_pct,cout_service_mad,revenu_service_mad,nb_incidents,nb_absences_personnel,productivite_actes_par_personne,statut_service,marge_service_mad
HOSP-00001,2026-01-20,Cardiologie,Nuit,173.0,43.0,221.0,47.5,99.3,82.81,73.65,15798.33,33094.97,0,1,5.14,Saturé,17296.64
HOSP-00002,2026-03-26,Cardiologie,Matin,248.0,25.0,163.0,51.9,46.8,56.77,73.43,26919.95,50398.3,0,2,6.52,Normal,23478.350000000002
HOSP-00003,2026-01-19,Médecine interne,Nuit,237.0,43.0,240.0,6.7,51.8,72.41,88.84,35216.26,41756.53,1,0,5.58,Normal,6540.269999999997
HOSP-00004,2026-04-14,Laboratoire,Matin,208.0,22.0,268.0,59.1,82.7,68.35,65.87,36512.83,78399.47,2,2,12.18,Normal,41886.64
HOSP-00005,2026-04-30,Radiologie,Matin,95.0,4.0,98.0,62.9,71.2,64.14,97.67,,22739.16,1,2,24.5,Saturé,-23791.649999999998
HOSP-00006,2026-01-22,Laboratoire,Nuit,258.0,32.0,171.0,16.3,44.6,97.02,63.87,67467.78,81408.05,2,1,5.34,Sous tension,13940.270000000004
HOSP-00007,2026-05-22,Radiologie,Après-midi,36.0,14.0,27.0,43.4,78.4,97.61,79.34,46973.3,52565.75,1,1,1.93,Saturé,5592.449999999997
HOSP-00008,2026-04-06,Pédiatrie,Après-midi,259.0,38.0,334.0,83.1,53.3,71.79,55.59,64518.7,38317.85,0,3,8.79,Normal,-26200.85
HOSP-00009,2026-02-19,Radiologie,Matin,,37.0,193.0,60.1,53.7,68.18,74.83,56208.73,28643.31,2,0,5.22,Normal,-27565.420000000002
HOSP-00010,2026-04-19,Médecine interne,Nuit,60.0,8.0,53.0,22.5,29.9,57.84,90.98,42835.0,11077.33,0,0,6.62,Sous tension,-31757.67
HOSP-00011,2026-03-26,Médecine interne,Nuit,58.0,15.0,64.0,37.0,80.7,63.15,89.41,30027.82,57804.49,0,1,4.27,Sous tension,27776.67
HOSP-00012,2026-02-09,Urgences,Matin,191.0,43.0,126.0,77.3,13.4,56.57,53.02,50377.75,71422.64,0,2,2.93,Normal,21044.89
HOSP-00013,2026-04-22,Laboratoire,Après-midi,74.0,24.0,92.0,47.1,76.1,76.36,61.29,60221.28,19294.28,0,0,3.83,Saturé,-40927.0
HOSP-00014,2026-04-28,Cardiologie,Nuit,161.0,19.0,116.0,45.9,25.3,84.8,69.1,18976.72,21224.5,0,0,6.11,Sous tension,2247.779999999999
HOSP-00015,2026-04-15,Médecine interne,Nuit,176.0,19.0,141.0,61.7,46.4,67.21,81.32,54149.15,73400.69,0,0,7.42,Normal,19251.54
HOSP-00016,2026-01-04,Médecine interne,Après-midi,57.0,41.0,39.0,51.2,69.9,54.96,,24114.5,41900.9,0,1,0.95,Normal,17786.4
HOSP-00017,2026-06-06,Pédiatrie,Matin,35.0,31.0,34.0,41.8,53.0,45.11,76.99,49605.15,61651.18,0,0,1.1,Normal,12046.029999999999
HOSP-00018,2026-03-25,Pédiatrie,Matin,30.0,34.0,24.0,27.2,68.4,80.19,67.7,62926.56,11446.33,2,0,0.71,Normal,-51480.229999999996
HOSP-00019,2026-02-27,Cardiologie,Après-midi,166.0,13.0,183.0,98.0,55.7,56.31,69.49,5739.25,26846.7,1,0,14.08,Normal,21107.45
HOSP-00020,2026-02-04,Pédiatrie,Nuit,74.0,21.0,66.0,39.5,79.5,71.73,93.53,59940.63,49149.41,2,0,3.14,Saturé,-10791.219999999994
HOSP-00021,2026-06-20,Cardiologie,Nuit,177.0,28.0,133.0,48.4,67.0,69.46,75.17,23875.45,65536.78,0,2,4.75,Normal,41661.33
HOSP-00022,2026-04-15,Bloc opératoire,Nuit,92.0,21.0,84.0,4.6,23.3,77.79,69.87,40357.21,14301.91,5,0,4.0,Normal,-26055.3
HOSP-00023,2026-01-01,Laboratoire,Matin,40.0,33.0,28.0,37.1,42.0,98.7,79.26,64922.47,63412.3,1,0,0.85,Saturé,-1510.1699999999983
HOSP-00024,2026-04-14,Radiologie,Après-midi,258.0,10.0,345.0,62.6,66.3,98.19,79.3,4815.91,41941.63,2,1,34.5,Normal,37125.72
HOSP-00025,2026-04-20,Consultation,Après-midi,88.0,14.0,113.0,36.1,50.0,90.94,71.09,61446.2,6874.62,0,0,8.07,Saturé,-54571.579999999994
HOSP-00026,2026-05-30,Médecine interne,Après-midi,156.0,26.0,133.0,16.7,72.7,65.31,67.44,65788.45,26333.5,1,0,5.12,Sous tension,-39454.95
HOSP-00027,2026-05-03,Pédiatrie,Matin,157.0,14.0,202.0,68.5,32.0,91.69,74.1,12235.82,13228.84,0,0,14.43,Normal,993.0200000000004
HOSP-00028,2026-04-25,Bloc opératoire,Après-midi,56.0,16.0,56.0,55.5,69.1,77.09,84.36,14954.65,7094.61,0,1,3.5,Normal,-7860.04
HOSP-00029,2026-02-08,Bloc opératoire,Matin,182.0,11.0,209.0,58.3,26.4,64.85,90.16,48212.79,48075.37,1,0,19.0,Saturé,-137.41999999999825
HOSP-00030,2026-03-19,Bloc opératoire,Après-midi,73.0,44.0,87.0,49.9,50.5,92.59,74.66,48126.61,54906.38,1,0,1.98,Sous tension,6779.769999999997
HOSP-00031,2026-05-07,Cardiologie,Matin,93.0,28.0,71.0,1.2,54.4,101.72,82.75,18411.12,36166.02,0,1,2.54,Normal,17754.899999999998
HOSP-00032,2026-02-01,Bloc opératoire,Après-midi,119.0,17.0,80.0,35.8,71.9,94.78,97.92,19301.76,5267.21,1,1,4.71,Normal,-14034.55
HOSP-00033,2026-05-25,Médecine interne,Matin,257.0,30.0,313.0,34.1,38.9,86.99,73.39,61209.47,41623.77,0,0,10.43,Normal,-19585.700000000004
HOSP-00034,2026-02-24,Consultation,Matin,147.0,22.0,156.0,65.2,56.4,61.66,74.81,3839.08,47714.65,1,2,7.09,Normal,43875.57
HOSP-00035,2026-03-05,Bloc opératoire,Après-midi,48.0,5.0,63.0,50.7,58.7,101.23,80.03,33231.02,23289.93,2,0,12.6,Sous tension,-9941.089999999997
HOSP-00036,2026-01-19,Médecine interne,Nuit,77.0,30.0,83.0,20.6,61.3,47.13,88.95,3050.82,33248.54,2,2,2.77,Normal,30197.72
HOSP-00037,2026-03-14,Cardiologie,Matin,249.0,7.0,306.0,92.1,33.7,78.26,44.55,42727.37,75660.01,0,2,43.71,Normal,32932.63999999999
HOSP-00038,2026-06-24,Médecine interne,Après-midi,29.0,20.0,29.0,75.0,86.9,75.37,79.58,45469.95,48602.9,1,1,1.45,Saturé,3132.9500000000044
HOSP-00039,2026-01-10,Bloc opératoire,Matin,158.0,44.0,172.0,54.3,65.7,105.97,84.4,20336.9,42486.27,0,1,3.91,Normal,22149.369999999995
HOSP-00040,2026-04-11,Bloc opératoire,Nuit,170.0,26.0,140.0,1.0,55.2,85.63,75.65,31526.14,37525.83,0,0,5.38,Saturé,5999.690000000002
HOSP-00041,2026-03-15,Médecine interne,Après-midi,253.0,27.0,302.0,49.1,40.3,61.83,54.57,16956.44,45849.48,1,2,11.19,Normal,28893.040000000005
HOSP-00042,2026-06-23,Radiologie,Nuit,253.0,32.0,207.0,7.4,42.5,89.03,69.46,53205.93,27560.86,1,2,6.47,Sous tension,-25645.07
HOSP-00043,2026-05-30,Urgences,Nuit,26.0,31.0,20.0,14.3,42.0,62.93,78.63,19664.83,23772.53,0,2,0.65,Sous tension,4107.699999999997
HOSP-00044,2026-03-25,Radiologie,Nuit,210.0,44.0,179.0,39.9,92.6,45.89,84.16,35716.13,43846.34,0,1,4.07,Normal,8130.209999999999
HOSP-00045,2026-03-06,Cardiologie,Après-midi,205.0,5.0,249.0,110.6,47.8,59.91,89.96,58731.74,91387.33,0,2,49.8,Saturé,32655.590000000004
HOSP-00046,2026-03-19,Médecine interne,Nuit,63.0,33.0,76.0,26.7,30.1,63.49,95.41,51673.54,94000.77,0,1,2.3,Normal,42327.23
HOSP-00047,2026-01-17,Cardiologie,Matin,185.0,30.0,229.0,27.5,27.2,78.73,80.06,66450.83,20990.75,1,1,7.63,Normal,-45460.08
HOSP-00048,2026-02-12,Laboratoire,Matin,183.0,39.0,242.0,38.1,75.6,55.05,60.9,10381.2,50162.69,1,3,6.21,Sous tension,39781.490000000005
HOSP-00049,2026-04-26,Bloc opératoire,Matin,139.0,31.0,156.0,27.2,33.6,56.88,84.26,46260.13,45057.57,0,1,5.03,Saturé,-1202.5599999999977
HOSP-00050,2026-01-20,Radiologie,Nuit,152.0,17.0,175.0,24.1,80.5,77.31,90.48,44532.41,45144.06,2,1,10.29,Normal,611.6499999999942
HOSP-00051,2026-05-31,Urgences,Nuit,81.0,22.0,54.0,40.7,59.8,46.01,68.2,66170.52,12062.9,0,1,2.45,Sous tension,-54107.62
HOSP-00052,2026-06-23,Urgences,Après-midi,89.0,19.0,75.0,42.4,73.0,97.31,80.56,48963.49,13815.68,0,1,3.95,Sous tension,-35147.81
HOSP-00053,2026-04-05,Radiologie,Nuit,155.0,13.0,160.0,37.5,100.0,87.7,84.52,3486.63,22374.53,1,1,12.31,Critique,18887.899999999998
HOSP-00054,2026-06-15,Médecine interne,Matin,89.0,14.0,58.0,44.8,68.5,45.69,59.36,36959.48,39617.46,1,3,4.14,Sous tension,2657.979999999996
HOSP-00055,2026-04-30,Bloc opératoire,Après-midi,43.0,9.0,54.0,48.3,66.5,97.74,79.39,48724.17,11105.44,0,2,6.0,Normal,-37618.729999999996
HOSP-00056,2026-05-27,Cardiologie,Nuit,39.0,44.0,38.0,68.3,67.8,61.02,69.8,40194.03,20052.6,1,1,0.86,Saturé,-20141.43
HOSP-00057,2026-05-28,Laboratoire,Après-midi,173.0,23.0,211.0,53.2,101.4,85.7,66.94,6405.32,69177.43,1,0,9.17,Saturé,62772.10999999999
HOSP-00058,2026-02-25,Pédiatrie,Après-midi,194.0,3.0,236.0,142.0,41.9,66.91,80.9,23293.55,36490.55,2,0,78.67,Normal,13197.000000000004
HOSP-00059,2026-03-13,Médecine interne,Nuit,109.0,14.0,102.0,37.2,41.0,65.69,87.64,37593.58,36913.74,1,2,7.29,Normal,-679.8400000000038
